hit_ID,x,y,z,layer,px,py,pz,time,PDG,event
0,5.860303718301838,-30.165,-13.72224993825003,0,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.018547240644693375,13,16
1,6.273430677541393,-32.214999999999996,-14.65228970418253,1,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.03476056084036827,13,16
2,9.958283751013308,-50.562422171770635,-23.031055353359548,2,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.007432231679558754,13,16
3,10.367817303093254,-52.58485421412007,-23.94453786081952,3,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.004379978869110346,13,16
4,14.651134458293633,-73.27501114349292,-33.39139986756188,4,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.008143956772983074,13,16
5,15.069739094054205,-75.29938935193965,-34.31319035737207,5,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.0525381825864315,13,16
6,20.421208434513947,-100.3598658995645,-45.77092571964515,6,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.015141145326197147,13,16
7,20.86103113158263,-102.36529891249373,-46.6929849817427,7,0.8028415441513062,-4.219010829925537,-1.918778419494629,-0.004608721937984228,13,16
8,7.368194102152874,-30.165,-56.58082733431335,0,-1000,-1000,-1000,0.1322801262140274,-1000,16
9,6.283418180426167,-30.165,-56.45622348467302,0,-1000,-1000,-1000,0.12402953207492828,-1000,16
10,-27.830437801460693,17.72845211038856,50.063498083848245,1,-1000,-1000,-1000,0.025269795209169388,-1000,16
11,-25.392532152689938,17.267219956294472,51.67846944522978,0,-1000,-1000,-1000,-0.027527643367648125,-1000,16
12,-27.958554119490316,-16.68393128736924,53.64939319299765,1,-1000,-1000,-1000,0.021319987252354622,-1000,16
13,-26.261462097320663,-15.424165707893263,54.93551110655609,0,-1000,-1000,-1000,-0.032553791999816895,-1000,16
14,30.85419143441333,9.693244409968491,55.50687211712574,1,-1000,-1000,-1000,0.13281965255737305,-1000,16
15,28.907242547961857,9.036686660893697,55.24815721335058,0,-1000,-1000,-1000,0.14005295932292938,-1000,16
16,30.85280486297031,9.69659188955142,55.29252718264068,1,-1000,-1000,-1000,0.13536807894706726,-1000,16
17,30.165,8.448978944599013,55.431112229052886,0,-1000,-1000,-1000,0.09580345451831818,-1000,16
18,29.453336980242955,7.718298076144228,55.55567041005397,0,-1000,-1000,-1000,0.10526696592569351,-1000,16
19,22.104167708122834,20.555584400861573,60.06227528485722,0,-1000,-1000,-1000,-0.04423581436276436,-1000,16
20,24.99413320057746,20.564756711271794,60.801990017481124,1,-1000,-1000,-1000,-0.05461858585476875,-1000,16
21,26.525603927067188,20.143379076122294,61.23293580028506,1,-1000,-1000,-1000,-0.08170100301504135,-1000,16
22,30.165,-0.9979490061744778,48.67038025189338,0,-1000,-1000,-1000,0.06649947166442871,-1000,16
23,32.214999999999996,-2.431874500599023,49.32132959359433,1,-1000,-1000,-1000,0.14475232362747192,-1000,16
24,27.183671258911822,-18.375218652937438,55.660128564926225,1,-1000,-1000,-1000,-0.04481888562440872,-1000,16
25,24.670061986431698,-17.98969012255271,56.59237184179829,0,-1000,-1000,-1000,-0.033285271376371384,-1000,16
26,18.108648505273344,27.45024140657591,42.59177792297757,1,-1000,-1000,-1000,0.13151416182518005,-1000,16
27,28.475316052346592,15.436357620549481,55.31139181182289,1,-1000,-1000,-1000,-0.034240152686834335,-1000,16
28,26.999284029916808,13.642905991603318,56.591736614494906,0,-1000,-1000,-1000,-0.02018633484840393,-1000,16
29,-4.109488829771255,30.165,44.66999641787637,0,-1000,-1000,-1000,0.08547107875347137,-1000,16
30,-2.8219535539761633,32.214999999999996,46.00780251799751,1,-1000,-1000,-1000,0.06751088798046112,-1000,16
31,11.011601954494608,30.30810985941372,54.88735409784782,1,-1000,-1000,-1000,-0.01726897433400154,-1000,16
