name,x_start,x_end,y_start,y_end,z
chip_0,0.05275912,0.08270088,-0.00688128,0.00688128,3.962
chip_1,0.08285912,0.11280088,-0.00688128,0.00688128,3.962
chip_2,0.11295912,0.14290088,-0.00688128,0.00688128,3.962
chip_3,0.14305912,0.17300088,-0.00688128,0.00688128,3.962
chip_4,0.17315912,0.20310088,-0.00688128,0.00688128,3.962
chip_5,0.20325912,0.23320088,-0.00688128,0.00688128,3.962
chip_6,0.23335912,0.26330088,-0.00688128,0.00688128,3.962
chip_7,0.26345912,0.29340088,-0.00688128,0.00688128,3.962
chip_8,0.29355912,0.32350088,-0.00688128,0.00688128,3.962
chip_9,0.28355912,0.31350088,-0.00688128,0.00688128,3.950
chip_10,0.31365912,0.34360088,-0.00688128,0.00688128,3.950
chip_11,0.34375912,0.37370088,-0.00688128,0.00688128,3.950
chip_12,0.37385912,0.40380088,-0.00688128,0.00688128,3.950
chip_13,0.40395912,0.43390088,-0.00688128,0.00688128,3.950
chip_14,0.43405912,0.46400088,-0.00688128,0.00688128,3.950
chip_15,0.46415912,0.49410088,-0.00688128,0.00688128,3.950
chip_16,0.49425912,0.52420088,-0.00688128,0.00688128,3.950
chip_17,0.52435912,0.55430088,-0.00688128,0.00688128,3.950
chip_18,0.05275912,0.08270088,-0.00688128,0.00688128,4.062
chip_19,0.08285912,0.11280088,-0.00688128,0.00688128,4.062
chip_20,0.11295912,0.14290088,-0.00688128,0.00688128,4.062
chip_21,0.14305912,0.17300088,-0.00688128,0.00688128,4.062
chip_22,0.17315912,0.20310088,-0.00688128,0.00688128,4.062
chip_23,0.20325912,0.23320088,-0.00688128,0.00688128,4.062
chip_24,0.23335912,0.26330088,-0.00688128,0.00688128,4.062
chip_25,0.26345912,0.29340088,-0.00688128,0.00688128,4.062
chip_26,0.29355912,0.32350088,-0.00688128,0.00688128,4.062
chip_27,0.28355912,0.31350088,-0.00688128,0.00688128,4.050
chip_28,0.31365912,0.34360088,-0.00688128,0.00688128,4.050
chip_29,0.34375912,0.37370088,-0.00688128,0.00688128,4.050
chip_30,0.37385912,0.40380088,-0.00688128,0.00688128,4.050
chip_31,0.40395912,0.43390088,-0.00688128,0.00688128,4.050
chip_32,0.43405912,0.46400088,-0.00688128,0.00688128,4.050
chip_33,0.46415912,0.49410088,-0.00688128,0.00688128,4.050
chip_34,0.49425912,0.52420088,-0.00688128,0.00688128,4.050
chip_35,0.52435912,0.55430088,-0.00688128,0.00688128,4.050
chip_36,0.05275912,0.08270088,-0.00688128,0.00688128,4.162
chip_37,0.08285912,0.11280088,-0.00688128,0.00688128,4.162
chip_38,0.11295912,0.14290088,-0.00688128,0.00688128,4.162
chip_39,0.14305912,0.17300088,-0.00688128,0.00688128,4.162
chip_40,0.17315912,0.20310088,-0.00688128,0.00688128,4.162
chip_41,0.20325912,0.23320088,-0.00688128,0.00688128,4.162
chip_42,0.23335912,0.26330088,-0.00688128,0.00688128,4.162
chip_43,0.26345912,0.29340088,-0.00688128,0.00688128,4.162
chip_44,0.29355912,0.32350088,-0.00688128,0.00688128,4.162
chip_45,0.28355912,0.31350088,-0.00688128,0.00688128,4.150
chip_46,0.31365912,0.34360088,-0.00688128,0.00688128,4.150
chip_47,0.34375912,0.37370088,-0.00688128,0.00688128,4.150
chip_48,0.37385912,0.40380088,-0.00688128,0.00688128,4.150
chip_49,0.40395912,0.43390088,-0.00688128,0.00688128,4.150
chip_50,0.43405912,0.46400088,-0.00688128,0.00688128,4.150
chip_51,0.46415912,0.49410088,-0.00688128,0.00688128,4.150
chip_52,0.49425912,0.52420088,-0.00688128,0.00688128,4.150
chip_53,0.52435912,0.55430088,-0.00688128,0.00688128,4.150
chip_54,0.05275912,0.08270088,-0.00688128,0.00688128,4.262
chip_55,0.08285912,0.11280088,-0.00688128,0.00688128,4.262
chip_56,0.11295912,0.14290088,-0.00688128,0.00688128,4.262
chip_57,0.14305912,0.17300088,-0.00688128,0.00688128,4.262
chip_58,0.17315912,0.20310088,-0.00688128,0.00688128,4.262
chip_59,0.20325912,0.23320088,-0.00688128,0.00688128,4.262
chip_60,0.23335912,0.26330088,-0.00688128,0.00688128,4.262
chip_61,0.26345912,0.29340088,-0.00688128,0.00688128,4.262
chip_62,0.29355912,0.32350088,-0.00688128,0.00688128,4.262
chip_63,0.28355912,0.31350088,-0.00688128,0.00688128,4.250
chip_64,0.31365912,0.34360088,-0.00688128,0.00688128,4.250
chip_65,0.34375912,0.37370088,-0.00688128,0.00688128,4.250
chip_66,0.37385912,0.40380088,-0.00688128,0.00688128,4.250
chip_67,0.40395912,0.43390088,-0.00688128,0.00688128,4.250
chip_68,0.43405912,0.46400088,-0.00688128,0.00688128,4.250
chip_69,0.46415912,0.49410088,-0.00688128,0.00688128,4.250
chip_70,0.49425912,0.52420088,-0.00688128,0.00688128,4.250
chip_71,0.52435912,0.55430088,-0.00688128,0.00688128,4.250
