name,r_start,r_end,z_start,z_end
ITrackerEndcap_l0,95.0,563.0,-2195.0,-2183.0
ITrackerEndcap_l1,95.0,563.0,-1954.0,-1938.0
ITrackerEndcap_l2,95.0,563.0,-1669.0,-1653.0
ITrackerEndcap_l3,95.0,563.0,-1383.0,-1368.0
ITrackerEndcap_l4,95.0,563.0,-1109.0,-1086.0
ITrackerEndcap_l5,95.0,563.0,-813.0,-797.0
ITrackerEndcap_l6,95.0,563.0,-538.0,-515.0
ITrackerEndcap_r0,95.0,563.0,515.0,538.0
ITrackerEndcap_r1,95.0,563.0,797.0,813.0
ITrackerEndcap_r2,95.0,563.0,1086.0,1109.0
ITrackerEndcap_r3,95.0,563.0,1368.0,1383.0
ITrackerEndcap_r4,95.0,563.0,1653.0,1669.0
ITrackerEndcap_r5,95.0,563.0,1938.0,1954.0
ITrackerEndcap_r6,95.0,563.0,2183.0,2195.0
