name,r_start,r_end,z_start,z_end
VXDTrackerEndcap_l7,25.0,115.0,-282.5,-281.5
VXDTrackerEndcap_l6,25.0,115.0,-280.5,-279.5
VXDTrackerEndcap_l5,25.0,115.0,-202.5,-201.5
VXDTrackerEndcap_l4,25.0,115.0,-200.5,-199.5
VXDTrackerEndcap_l3,25.0,115.0,-122.5,-121.5
VXDTrackerEndcap_l2,25.0,115.0,-120.5,-119.5
VXDTrackerEndcap_l1,25.0,115.0,-82.5,-81.5
VXDTrackerEndcap_l0,25.0,115.0,-80.5,-79.5
VXDTrackerEndcap_r0,25.0,115.0,79.5,80.5
VXDTrackerEndcap_r1,25.0,115.0,81.5,82.5
VXDTrackerEndcap_r2,25.0,115.0,119.5,120.5
VXDTrackerEndcap_r3,25.0,115.0,121.5,122.5
VXDTrackerEndcap_r4,25.0,115.0,199.5,200.5
VXDTrackerEndcap_r5,25.0,115.0,201.5,202.5
VXDTrackerEndcap_r6,25.0,115.0,279.5,280.5
VXDTrackerEndcap_r7,25.0,115.0,281.5,282.5
